N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
240;Online kurz PostgreSQL I. Začiatočník;89;117;Databázy a Analytika;Online kurz PostgreSQL I. Začiatočník ťa uvedie do základov objektovo-relačného databázového systému PostgreSQL. Na online kurze PostgreSQL I. Začiatočník sa pozrieme na históriu PostgreSQL, súvisiacu terminológiu a potom sa už budeme venovať inštalácii a základným zásadám tvorenia databáz. V záverečnej časti kurzu sa venujeme jazyku SQL, využívaniu agregačných funkcií a práci s tabuľkami. Absolvent online kurzu PostgreSQL získa užitočné základy pre ďalšiu prácu a využívanie tohto databázového systému, zvládne vytvoriť databázu a rôzne jednoduchšie konfigurácie.
241;Online kurz PostgreSQL II. Mierne Pokročilý;118;154,7;Databázy a Analytika;Online kurz PostgreSQL II. Mierne Pokročilý je určený pre každého, kto to s databázovým systémom PostgreSQL myslí vážne. Na online kurze PostgreSQL II. Mierne Pokročilý sa naučíš základy programovania v PL/psSQL, práce s procedúrami a zistíte, čo sú to triggery. V druhej časti kurzu si osvojíš pokročilé funkcie systému a možnosti ich využitia na konkrétnych príkladoch. Záver kurzu je venovaný možnostiam zálohovania a replikácie. Absolvent online kurzu PostgreSQL nebude mať problém vytvoriť a spravovať databázy pomocou tohto systému a zároveň využívať jeho pokročilé funkcie.
242;Online kurz PostgreSQL III. Pokročilý;224;292,5;Databázy a Analytika;Online kurz PostgreSQL III. Pokročilý je určený pre každého, kto to s databázovým systémom PostgreSQL myslí vážne. Na kurze PostgreSQL III. Pokročilý sa naučíš základy programovania v PL/psSQL, práce s procedúrami a zistíte, čo sú to triggery. V druhej časti kurzu si osvojíš pokročilé funkcie systému a možnosti ich využitia na konkrétnych príkladoch.
243;Online kurz PostgreSQL IV. Optimalizácia dopytov;213,74;304,99;Databázy a Analytika;Na online kurze PostgreSQL IV. Optimalizácia dopytov sa zoznámite s problematikou tvorby optimálnych dopytov. Povieme si ako monitorovať SQL dotazy, identifikovať náročné operácie, porozumieť exekučným plánom, používať štatistiky, indexy a odporučeným postupom písať dotazy. PostgreSQL je voľne šíriteľný objektovo-relačný databázový systém. Ukážeme si ako efektívne monitorovať a optimalizovať náročné a problematické databázové dopyty v pgAdmine.
244;Online kurz PowerShell I. Začiatočník;127,4;168;Programovacie Jazyky;Online kurz PowerShell I. Začiatočník je určený pre teba, ak sa chceš naučiť ovládať príkazový riadok (shell) a skriptovať v jazyku PowerShell. Písanie základných skriptov a automatizácia pomocou PowerShellu budú pre teba samozrejmosťou. Naučíme ťa využívať moduly, plánovanie a hromadné vykonávanie úloh. Ako absolvent online kurzu PowerShell budeš v prostredí PowerShell ako doma.
245;Online kurz Práca s Internetom a Emailom I. Začiatočník;39;52,20;Kancelárske Balíky;Online kurz Práca s Internetom a Emailom I. Začiatočník je pre teba správnou voľbou, ak sa chceš naučiť aktuálne trendy v práci s internetom a mailom. Naučíme ťa uložiť si svoje obľúbené alebo často navštevované webové stránky. Surfovať na vlnách internetu a komunikovať pomocou e-mailu sa pre teba stane hračkou. Základné princípy ochrany osobných údajov vo virtuálnom svete ti budú známe. Ako absolvent online kurzu Práca s Internetom a Emailom I. Začiatočník zvládneš pracovať aj s obrázkami alebo inými dokumentmi.
246;Online kurz Práca s PC a Windows I. Začiatočník;39;52,2;Operačné Systémy;Online kurz Práca s PC a Windows ťa naučí všetky najnutnejšie veci k tomu, aby si efektívne zvládol prácu s počítačom. Kurz Práca s PC a Windows ti pomôže naučiť sa používať počítač a uplatniť sa na pracovnom trhu. Na kurze ťa naučíme ovládať operačný systém Windows, pracovať so súbormi, multimédiami, či postarať sa o svoj osobný počítač alebo notebook. Absolvent kurzu Práca s PC a Windows budeš vedieť spojazdniť tlačiareň či vytlačiť firemné fotky alebo fotky z rodinnej dovolenky.
247;Online kurz Práca s PC a Windows II. Mierne Pokročilý;49;68;Kancelárske Balíky;Online kurz Práca s PC a Windows II. Mierne Pokročilý je vhodný pre absolventov kurzu Práca s PC a Windows. Kurz Práca s PC a Windows II. Mierne Pokročilý ti pomôže uplatniť sa na pracovnom trhu. Naučíme ťa všetky najnutnejšie veci k tomu, aby si efektívne pracoval s PC. Osvojíš si funkcie Snap a Shake a efektívnu prácu s panelom úloh či oknami. Absolvent kurzu Práca s PC a Windows II. Mierne Pokročilý už nebude mať problém sledovať aktuálne počasie, meny, výkon počítača či novinky zo sveta.
248;Online kurz Práca s PC a Windows III. Pokročilý;54;71,5;Kancelárske Balíky;Online kurz Práca s PC a Windows III. Pokročilý ťa naučí všetky najnutnejšie veci k tomu, aby si efektívne zvládol/a prácu s počítačom. Kurz Práca s PC a Windows ti pomôže uplatniť sa na pracovnom trhu. Na kurze ťa naučíme ovládať operačný systém Windows, pracovať so súbormi, multimédiami, či postarať sa o svoj osobný počítač alebo notebook. Absolvent online kurzu Práca s PC a Windows už nebude mať problém vytvárať tabuľky a grafy alebo nahrávať videá.
249;Online kurz Práca s PC pre Seniorov;39,9;59,90;Kancelárske Balíky;Online kurz Práca s PC pre Seniorov ťa naučí všetky najnutnejšie veci k tomu, aby si efektívne zvládol prácu s počítačom. Na kurze ťa naučíme ovládať operačný systém Windows, pracovať so súbormi, multimédiami, či postarať sa o svoj osobný počítač alebo notebook. Nebudete mať problém spojazdniť tlačiareň či vytlačiť fotky z rodinnej dovolenky.
250;Online kurz Práca s SQL v MySQL;89;112;Databázy a Analytika;Online kurz Práca s SQL v MySQL je vhodný pre teba, čo sa chcú oboznámiť s databázovým programom, poznať jeho funkčné možnosti, vytvoriť si vlastnú databázu. Online kurz Práca s SQL v MySQL je zameraný na funkcie a možnosti databázového servera MySQL a na zdokonalenie sa v jazyku SQL. Na online kurze MySQL sa preberá nie len úvod do tvorby relačných databázových štruktúr ale aj návrh a logika relácií a ich použitie. Online kurz ťa naučí od základov aj s pracovať s programom phpMyAdmin.
251;Online kurz Prehľad v Online Marketingu;50;66,3;Marketing, Reklama a Právo;Online kurz Prehľad v Online Marketingu je pre teba ideálny, ak sa chceš naučiť prezentovať svoju firmu, služby alebo produkty online. Vylepšíme tvoje kampane, texty a komunikáciu na sociálnych sieťach. Osvojíš si využívanie sociálne siete vo svoj prospech. Naučíme ťa vytvárať a upravovať príspevky, efektívne spravovať a propagovať Facebook stránku a premieňať tvojich fanúšikov na zákazníkov. Ako absolvent online kurzu Prehľad v Online Marketingu zvládneš vytvárať a vyhodnocovať reklamné stratégie na internete.
252;Online kurz PrestaShop I. Začiatočník;101;132,6;Tvorba Web Stránok;Online kurz PrestaShop I. Začiatočník ťa zasvätí do tajov systému PrestaShop pre tvorbu e-shopov. Na kurze PrestaShop, ťa prevedieme vytvorením databázy a inštaláciou systému, ale aj rôznymi nastaveniami používateľského rozhrania. Naučíme ťa zásadám úspešného predaja v online svete a poodhalíme ti široké možnosti prispôsobenia tohto systému. Po absolvovaní kurzu budeš vedieť ako zákazníkom ponúknuť viac a zároveň získať nových.
253;Online kurz Prezentačné Zručnosti I. Začiatočník;61;84,63;Manažérske Kurzy;Online kurz Prezentačné Zručnosti I. Začiatočník je pre teba ideálny, ak sa chceš venovať prezentovaniu na profesionálnej úrovni. Ukážeme ti, ako vytvoriť pozitívnu atmosféru a ako prekonať svoj strach. Zdokonalíš sa v príprave a analyzovaní obsahu prezentácie a príprave scenára, osvojíš si viaceré techniky na zvládanie emócií a udržanie pozornosti publika.
254;Online kurz PRINCE2 Foundation;224;308,7;Manažérske Kurzy;Online kurz PRINCE2 Foundation je určený pre všetkých, ktorých zaujíma problematika projektového manažmentu a chcú sa certifikovať v tejto oblasti vzdelávali. Online kurz PRINCE2 Foundation vás oboznámi so všeobecnými informáciami a o tom, aký je rozdiel medzi projektmi a bežným riadením. Naučíte sa projekt riadiť a budete ovládať riadenie po etapách, s dohodnutými odchýlkami i definovanie úloh a zodpovednosti. Po absolvovaní online kurzu PRINCE2 Foundation budete dokonale ovládať zostavenie projektu, jeho smerovanie, nastavenie či ukončenie vrátane práce so stratégiami.
255;Online kurz PRINCE2 Foundation 2009 a 2017;224;308,7;Manažérske Kurzy;Online kurz PRINCE2 Foundation 2009 a 2017 je určený pre všetkých, ktorých zaujíma problematika projektového manažmentu a chcú sa certifikovať v tejto oblasti vzdelávali. Online kurz PRINCE2 Foundation vás oboznámi so všeobecnými informáciami a o tom, aký je rozdiel medzi projektmi a bežným riadením.
256;Online kurz Príprava na Certifikáciu OCEB BPMN;224;307,13;Databázy a Analytika;Online kurz je Príprava na Certifikáciu OCEB BPMN vedený ako príprava na zloženie uvedené certifikačnej skúšky, obsah kurzu teda zodpovedá požiadavkám OMG na túto skúšku. V priebehu kurzu si osvojíš kľúčové disciplíny procesného riadenia a ich súvislosti. Zoznámiš sa s osvedčenými best practice postupmi, metódami a technikami BPM. Osvojíš si najpoužívanejšie metódy modelovania procesov s dôrazom na správne pochopenie a praktické využitie notácie BPMN. Zoznámiš sa tiež so skúsenosťami z praxe procesného riadenia a automatizácie procesov aj s najnovšími trendmi v tejto oblasti.
257;Online kurz Príprava na ITIL4 Foundation;224;307,13;Manažérske Kurzy;Online kurz Príprava na ITIL4 Foundation je vhodná pre ľudí, ktorí chcú získať ITIL4 Foundation a poznať všetky techniky na zlepšenie kvality IT služieb v rámci biznis organizácie. V online kurze ITIL4 Foundation si povieme o životnom cykle služieb, o základných konceptoch či governancii a systéme riadenia. Po absolvovaní online kurzu Príprava na ITIL4 Foundation hravo zvládnete certifikačnú skúšku a budete ovládať správu IT služieb.
258;Online kurz Príprava na Skúšku IREB CPRE - Správa Požiadaviek;154;201,5;Programovacie Jazyky;Online kurz Príprava na Skúšku IREB CPRE - Správa Požiadaviek ako príprava na medzinárodne uznávanú certifikačnú skúšku CPRE-FL (Certified Professional for Requirements Engineering – Foundation Level), ktorá je pod záštitou organizácie IREB. Pre úspešné dokončenie nielen softwarových projektov, je kľúčové správne pochopenie očakávaní a požiadaviek zákazníka. Kurz ti pomôže do tvojich projektov zaviesť nové alebo vylepšiť metódy a procesy v oblasti zberu a riadenia požiadaviek zákazníka.
259;Online kurz Príprava na skúšku Oracle Certified Professional Java SE Programmer;301;434,99;Programovacie Jazyky;Prípravný online kurz na certifikáciu Java SE Programmer je určený pre získanie Oracle Certified Professional, Java SE Programmer. Skúška je pomerne náročná a preto je veľmi vhodné sa na ňu dôkladne pripraviť. Naučíš sa využívať rozšírené možnosti programovacieho jazyka Java, postupy kódovania a využívania nových funkcií začlenených do Java SE. Zložením požadovanej skúšky preukážeš svoje odbornosť a expertízu v jazyku Java SE a získaš cenné profesionálne zručnosti potrebné na to, aby si mohol byť Java programátorom alebo vývojárom. Kurz je určený pre skúsenejších java programátorov, nie je vhodný pre začiatočníkov. Certifikačná skúška nie je v cene kurze. Je možné si za ňu priplatiť cca (248-280 Eur) podľa aktuálneho cenníka Oracle a kurzu dolára.
260;Online kurz Produktivita a Efektivita;146;199;Manažérske Kurzy;Online kurz Produktivita a Efektivita je pre teba vhodná ak chceš za krátky čas urobiť viac práce. Dosiahneš svoje ciele rýchlejšie k nastaveniu pracovného prostredia.
261;Online kurz Produktivita a Efektivita Programátora;118;154,7;Programovacie Jazyky;Online kurz Produktivita a Efektivita Programátora je pre teba ideálny, ak sa chceš naučiť efektívnu organizáciu práce ako programátor. Ďalej ťa naučíme vytvorenie funkčného systému úloh a projektov, používanie vhodného systému a vhodnej aplikácií. Zameriame sa na prácu s prioritami a ukážeme ti, na čo je potreba zamerať pozornosť pre spokojnosť s výsledkami svojej práce. Základom efektívnej práce je plánovanie, ktoré ťa naučíme si pripraviť. Z týždenných sa potom odvíja denné plány. Kurz rozoberá celý rad užitočných aplikácií, či už mobilných alebo na PC pre lepšiu produktivitu a efektivitu.
262;Online kurz Programovanie a Štatistika v R I. Začiatočník;106;139,1;Programovacie Jazyky;Online kurz Programovanie a Štatistika v R I. Začiatočník je pre teba ideálny, ak sa chceš naučiť programovať v jazyku R. Naučíme ťa jazyk R ovládať a získavať potrebné dáta. Správna interpretácia údajov a jednovýberový či dvojvýberový test budú pre teba samozrejmosťou. Osvojíš si štatistické analýzy. Čakajú ťa aj praktické ukážky programovania v R. Ako absolvent online kurzu Programovanie a Štatistika v R zvládneš spracovávať štatistické údaje a spracovávať veľké množstvo dát.
263;Online kurz Programovanie a Štatistika v R II. Mierne Pokročilý;134;175,5;Programovacie Jazyky;Online kurz Programovanie a Štatistika v R II. Mierne Pokročilý je pre teba vhodný, ak máš skúsenosti s programovacím jazykom R. Alebo si absolvoval kurz Programovanie a Štatistika v R I. Začiatočník. Naučíme ťa princípy štatistického testovania hypotéz. Zvládneš pracovať s párovými dátami a rôznymi hypotézami. Osvojíš si, čo je to Wilcoxonov test a ako triediť kvantitatívne znaky. Ako absolvent kurzu Programovanie a Štatistika v R hravo zvládneš použiť analýzu rozptylu (ANOVA) a využívať grafické rozhranie.
